::1 - - [19/Feb/2023:10:29:55 +0000] "GET /api/productdetail/ HTTP/1.1" 400 66 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:32:42 +0000] "GET /api/productdetail/ HTTP/1.1" 200 25 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:34:20 +0000] "PUT /api/productdetail/ HTTP/1.1" 404 157 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:35:33 +0000] "GET /api/productdetail/ HTTP/1.1" 200 25 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:35:40 +0000] "POST /api/productdetail/ HTTP/1.1" 200 152 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:35:42 +0000] "POST /api/productdetail/ HTTP/1.1" 200 152 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:35:43 +0000] "POST /api/productdetail/ HTTP/1.1" 200 152 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:35:48 +0000] "GET /api/productdetail/ HTTP/1.1" 200 411 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:35:56 +0000] "GET /api/productdetail/63f1fb7b313563776131da0b HTTP/1.1" 400 67 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:37:11 +0000] "GET /api/productdetail/ HTTP/1.1" 200 411 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:37:21 +0000] "GET /api/productdetail/63f1fb7b313563776131da0b HTTP/1.1" 400 67 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:39:47 +0000] "GET /api/productdetail/63f1fb7b313563776131da0b HTTP/1.1" 200 152 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:40:17 +0000] "PUT /api/productdetail/63f1fb7b313563776131da0b HTTP/1.1" 200 156 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:40:26 +0000] "DELETE /api/productdetail/63f1fb7b313563776131da0b HTTP/1.1" 200 26 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:40:36 +0000] "GET /api/productdetail/63f1fb7b313563776131da0b HTTP/1.1" 400 135 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:42:26 +0000] "GET /api/productdetail/ HTTP/1.1" 200 25 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:42:56 +0000] "GET /api/productdetail/ HTTP/1.1" 200 282 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:49:58 +0000] "GET /api/productdetail/S3D2F1SS3D2F1 HTTP/1.1" 400 137 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:50:24 +0000] "PUT /api/productdetail/S3D2F1SS3D2F1 HTTP/1.1" 400 137 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:50:30 +0000] "DELETE /api/productdetail/S3D2F1SS3D2F1 HTTP/1.1" 400 137 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:50:39 +0000] "GET /api/productdetail/ HTTP/1.1" 200 282 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:50:45 +0000] "GET /api/productdetail/63f1fb7e313563776131da0d HTTP/1.1" 200 152 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:50:54 +0000] "DELETE /api/productdetail/63f1fb7e313563776131da0d HTTP/1.1" 200 152 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:50:59 +0000] "GET /api/productdetail/63f1fb7e313563776131da0d HTTP/1.1" 400 133 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:51:10 +0000] "PUT /api/productdetail/63f1fb7e313563776131da0d HTTP/1.1" 400 133 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:51:16 +0000] "DELETE /api/productdetail/63f1fb7e313563776131da0d HTTP/1.1" 400 133 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Feb/2023:16:18:13 +0000] "GET /api/users HTTP/1.1" 200 1621 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Feb/2023:16:18:40 +0000] "GET /api/inventory/ HTTP/1.1" 404 153 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Feb/2023:16:19:41 +0000] "GET /api/users HTTP/1.1" 200 1621 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Feb/2023:16:19:57 +0000] "GET /api/inventory/ HTTP/1.1" 404 153 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Feb/2023:16:20:34 +0000] "GET /api/product/ HTTP/1.1" 200 455 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Feb/2023:16:21:30 +0000] "POST /api/category HTTP/1.1" 200 133 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Feb/2023:16:21:36 +0000] "GET /api/login HTTP/1.1" 200 310 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Feb/2023:16:21:40 +0000] "GET /api/promotion/ HTTP/1.1" 200 789 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:02:46:38 +0000] "GET /api/product/ HTTP/1.1" 200 455 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:03:14 +0000] "GET /api/productdetail/ HTTP/1.1" 200 153 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:03:58 +0000] "GET /api/order HTTP/1.1" 200 26 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:10:51 +0000] "POST /api/order HTTP/1.1" 200 166 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:11:07 +0000] "POST /api/order HTTP/1.1" 200 174 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:11:20 +0000] "POST /api/order HTTP/1.1" 200 163 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:26:29 +0000] "GET /api/order HTTP/1.1" 200 462 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:26:45 +0000] "GET /api/order63f587d7ccdc484513c5a470 HTTP/1.1" 404 172 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:28:27 +0000] "GET /api/order63f587d7ccdc484513c5a470 HTTP/1.1" 404 172 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:29:54 +0000] "GET /api/ HTTP/1.1" 404 143 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:30:04 +0000] "GET /api/order HTTP/1.1" 200 462 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:30:12 +0000] "GET /api/order/63f587d7ccdc484513c5a470 HTTP/1.1" 200 164 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Feb/2023:03:31:02 +0000] "PUT /api/order/63f587d7ccdc484513c5a470 HTTP/1.1" 200 167 "-" "PostmanRuntime/7.29.2"
